,COURSE,A%,B%
0,AAAD-A 100,97.13,2.88
1,AAAD-A 110,86.87,10.91
2,AAAD-A 113,89.9,8.8
3,AAAD-A 120,97.08,2.92
4,AAAD-A 150,46.11,40.18
5,AAAD-A 156,62.89,25.27
6,AAAD-A 210,33.01,47.36
7,AAAD-A 221,61.9,18.91
8,AAAD-A 251,25.0,50.0
9,AAAD-A 263,63.12,23.72
10,AAAD-A 264,43.96,39.66
11,AAAD-A 275,,
12,AAAD-A 290,35.9,38.96
13,AAAD-A 295,31.07,45.01
14,AAAD-A 297,33.24,31.67
15,AAAD-A 337,100.0,0.0
16,AAAD-A 338,75.0,16.65
17,AAAD-A 339,,
18,AAAD-A 350,39.81,40.23
19,AAAD-A 355,43.18,44.93
20,AAAD-A 379,47.06,50.58
21,AAAD-A 380,47.16,47.02
22,AAAD-A 386,55.8,35.77
23,AAAD-A 387,22.98,41.18
24,AAAD-A 427,29.15,58.3
25,AAAD-A 493,66.69,31.65
26,AAAD-A 499,,
27,AAAD-A 556,80.0,20.0
28,AAAD-A 557,100.0,0.0
29,AAAD-A 579,100.0,0.0
30,AAAD-A 599,,
31,AAAD-A 669,,
32,AAAD-A 686,,
33,AAAD-A 689,,
34,AAAD-A 696,76.32,23.67
35,AAAD-A 698,100.0,0.0
36,AAAD-A 699,,
37,AAAD-A 799,,
38,AAAD-A 899,,
39,AAAD-G 599,,
40,AAAD-G 901,,
41,AAAD-X 373,,
42,AAAD-X 490,,
43,AADM-Y 500,85.25,13.67
44,AADM-Y 502,93.25,4.72
45,AADM-Y 505,70.6,20.28
46,AADM-Y 511,94.19,5.81
47,AADM-Y 515,73.69,19.8
48,AADM-Y 525,84.39,15.24
49,AADM-Y 550,,
50,AADM-Y 551,92.7,7.3
51,AADM-Y 562,94.6,5.4
52,AADM-Y 650,88.23,11.32
53,AADM-Y 680,,
54,AADM-Y 690,100.0,0.0
55,AADM-Y 750,100.0,0.0
56,AAST-A 101,56.91,26.44
57,AAST-A 201,81.9,18.1
58,AAST-A 300,47.37,32.27
59,ABEH-A 200,60.18,30.25
60,ABEH-A 350,45.0,30.0
61,ABEH-A 400,75.17,20.85
62,ABEH-A 501,97.96,2.04
63,ABEH-X 473,,
64,ABEH-X 491,,
65,AERO-A 101,74.62,21.21
66,AERO-A 151,,
67,AERO-A 201,74.05,23.16
68,AERO-A 301,77.63,21.49
69,AERO-A 401,66.33,32.0
70,AFRI-A 100,,
71,AFRI-A 500,,
72,AFRI-A 651,100.0,0.0
73,AFRI-A 731,92.17,6.32
74,AFRI-B 101,92.85,7.15
75,AFRI-B 201,90.45,9.55
76,AFRI-B 301,100.0,0.0
77,AFRI-B 501,,
78,AFRI-B 601,,
79,AFRI-B 701,,
80,AFRI-K 101,50.0,50.0
81,AFRI-K 201,37.5,62.5
82,AFRI-K 301,,
83,AFRI-K 501,,
84,AFRI-K 601,,
85,AFRI-K 701,,
86,AFRI-L 100,78.01,18.79
87,AFRI-L 102,35.05,34.2
88,AFRI-L 232,64.93,27.08
89,AFRI-L 400,66.97,24.53
90,AFRI-L 506,,
91,AFRI-R 101,,
92,AFRI-S 101,75.25,23.2
93,AFRI-S 201,55.28,23.17
94,AFRI-S 301,100.0,0.0
95,AFRI-S 501,,
96,AFRI-S 601,,
97,AFRI-S 701,,
98,AFRI-X 390,,
99,AFRI-X 473,,
100,AFRI-X 491,,
101,AFRI-Y 101,85.4,8.35
102,AFRI-Y 201,,
103,AFRI-Y 301,,
104,AFRI-Y 501,,
105,AFRI-Y 601,,
106,AFRI-Y 701,,
107,AFRI-Z 101,78.15,18.75
108,AFRI-Z 201,100.0,0.0
109,AFRI-Z 301,,
110,AFRI-Z 501,,
111,AFRI-Z 601,,
112,AFRI-Z 701,,
113,AMST-A 100,44.99,39.41
114,AMST-A 150,62.83,29.03
115,AMST-A 200,61.59,27.59
116,AMST-A 201,49.36,32.66
117,AMST-A 202,38.5,40.29
118,AMST-A 350,44.1,37.35
119,AMST-A 399,45.22,38.82
120,AMST-G 901,,
121,ANAT-A 215,31.09,29.47
122,ANAT-A 512,,
123,ANAT-A 513,,
124,ANAT-A 530,,
125,ANAT-A 620,,
126,ANAT-A 800,89.67,10.33
127,ANAT-A 850,100.0,0.0
128,ANAT-A 878,,
129,ANTH-A 107,43.6,38.02
130,ANTH-A 122,47.65,40.12
131,ANTH-A 200,63.44,23.82
132,ANTH-A 208,55.0,33.61
133,ANTH-A 399,,
134,ANTH-A 403,72.54,21.41
135,ANTH-A 521,95.97,4.03
136,ANTH-A 576,,
137,ANTH-A 595,95.23,4.77
138,ANTH-A 800,100.0,0.0
139,ANTH-B 200,37.25,37.7
140,ANTH-B 301,61.05,27.35
141,ANTH-B 400,86.27,11.94
142,ANTH-B 464,61.06,33.61
143,ANTH-B 524,100.0,0.0
144,ANTH-B 600,95.41,4.59
145,ANTH-E 200,28.4,31.3
146,ANTH-E 270,61.5,30.8
147,ANTH-E 300,61.56,31.48
148,ANTH-E 302,73.62,15.79
149,ANTH-E 318,69.57,26.43
